Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_99344	20.5797371	17.23153594	5.080105556	1	#B0E0E6
gene_id_99345	10.96096129	8.827610938	2.176827778	1	#B0E0E6
gene_id_99346	31.10749516	26.14867188	7.556241667	1	#B0E0E6
gene_id_102181	3.787932258	6.33723125	13.28044444	1	#B0E0E6
gene_id_103854	4.801390323	8.036092188	18.25174444	1	#B0E0E6
gene_id_111269	10.31817419	10.85730781	0.019322222	1	#B0E0E6
gene_id_127958	12.92987097	11.79610313	7.711277778	1	#B0E0E6
gene_id_111143	25.93219839	30.86890625	9.270647222	1	#B0E0E6
gene_id_128423	9.132580645	8.868546875	5.668366667	1	#B0E0E6
gene_id_111145	15.04497258	20.54538281	4.630638889	1	#B0E0E6
gene_id_118929	13.14056452	10.06925	11.99294444	1	#B0E0E6
gene_id_96931	18.59500161	15.60046875	4.520347222	1	#B0E0E6
gene_id_58224	8.203416129	7.998296875	3.939741667	1	#B0E0E6
gene_id_58227	8.600806452	8.855382812	4.828094444	1	#B0E0E6
gene_id_127179	8.065112903	8.228396875	4.965919444	1	#B0E0E6
gene_id_98170	8.527974194	7.14080625	1.887336111	1	#B0E0E6
gene_id_98171	11.27351935	9.411026563	2.354966667	1	#B0E0E6
gene_id_98172	12.47102903	10.25692969	2.649977778	1	#B0E0E6
gene_id_133268	27.03627419	25.7065625	14.15929444	1	#B0E0E6
gene_id_97446	11.38015806	9.400765625	2.634830556	1	#B0E0E6
gene_id_55455	15.15562903	14.38353125	9.037988889	1	#B0E0E6
gene_id_42991	17.13577419	14.80017188	6.516555556	1	#B0E0E6
gene_id_81482	9.780596774	8.457203125	1.371372222	1	#B0E0E6
gene_id_56901	36.36898065	35.99742188	21.49952778	1	#B0E0E6
gene_id_56900	10.77903226	10.14073906	5.371138889	1	#B0E0E6
gene_id_97307	13.00394355	9.45010625	1.548208333	1	#B0E0E6
gene_id_96991	20.69877097	16.83478594	4.698436111	1	#B0E0E6
gene_id_96992	35.46786774	29.17130625	8.172122222	1	#B0E0E6
gene_id_96994	18.76247903	14.90132344	4.554583333	1	#B0E0E6
gene_id_96995	10.53036129	8.915934375	2.58905	1	#B0E0E6
gene_id_96996	19.33106452	15.73826406	4.205413889	1	#B0E0E6
gene_id_96997	8.068546774	6.635898438	2.196952778	1	#B0E0E6
gene_id_110089	9.4872	10.55913594	0.014847222	1	#B0E0E6
gene_id_57225	8.718645161	7.699240625	3.794916667	1	#B0E0E6
gene_id_57221	16.31954516	13.77761094	6.215844444	1	#B0E0E6
gene_id_57222	9.771896774	8.123984375	5.214058333	1	#B0E0E6
gene_id_128150	8.634548387	8.417326563	4.237963889	1	#B0E0E6
gene_id_99069	29.47769839	24.53258281	6.908666667	1	#B0E0E6
gene_id_99065	9.3061	7.760075	1.992555556	1	#B0E0E6
gene_id_99064	11.08590323	9.17905	2.746725	1	#B0E0E6
gene_id_99066	8.634669355	7.273732813	2.006313889	1	#B0E0E6
gene_id_99061	15.12769194	12.74032813	3.7387	1	#B0E0E6
gene_id_99063	18.41941452	15.31139063	4.108491667	1	#B0E0E6
gene_id_99062	11.34273226	9.457126563	2.938422222	1	#B0E0E6
gene_id_96111	16.81055	13.86617656	3.811111111	1	#B0E0E6
gene_id_96113	26.40927581	22.18457344	6.077166667	1	#B0E0E6
gene_id_42369	18.46923871	28.25945313	27.17270278	1	#B0E0E6
