names	plsda1	plsda2	group
GS29	0.502482041162983	-1.16410938693978	GS
GS30	-0.561928898521741	-0.345020714177568	GS
GS31	0.978363948603717	-1.79600237887157	GS
GS32	-1.12558621922238	-2.03184409105646	GS
GS33	8.09137393292959	0.089907618836523	GS
GS34	-4.18130668154709	-1.38237441389959	GS
GS35	2.47305779703288	-2.82882472876386	GS
GS36	-3.03638480086537	-1.67517414107084	GS
GS37	-2.53326071704133	-1.23306883575458	GS
GS38	-2.99406080299456	-2.33855880308472	GS
GS39	-4.25243165318015	-2.26239054090401	GS
GS40	2.52225223634965	-1.82213418663221	GS
GS41	-1.50389282859196	1.38085115339716	GS
GS42	-2.46260685513257	-1.70386619352857	GS
GS43	-5.24634996113939	-1.80544274840244	GS
GS44	-8.67391146475462	2.15190202303606	GS
